audioname|category|subcategory|description
AU01909.wav|Linguistic/Paralinguistic|Word or Phrase Repetition|-
TM00805.wav|Linguistic/Paralinguistic|Mispronounced Words|We stored 2 L at 17°C for testing.
TM01786.wav|Linguistic/Paralinguistic|Unnatural Paralinguistic Sounds|-|During the physics experiment ...[Umm].. raises additional concerns ...[Uh].. if we want accurate conclusions.
AU03007.wav|Voice-Quality|Unnatural Voice Timbre|Metallic and Over-sharpened
AU04248.wav|Voice-Quality|Muffled Voice|-
AU12673.wav|Voice-Quality|Distorted/Wobbly Voice|Shaky Unstable Voice
AU05632.wav|Signal-level|Background Noise|Quantization Noise
AU06841.wav|Signal-level|Impulse Noise Artifacts|Click Sound
AU08222.wav|Signal-level|Impulse Noise Artifacts|Thud Sound
AU10016.wav|Signal-level|Background Noise|Crackle Sound
AU12156.wav|Signal-level|Background Noise|Electric Buzz
AU14892.wav|Temporal/Prosodic|Missing Natural Pauses|Overly Fast Speech
TM01894.wav|Temporal/Prosodic|Lack of Expressiveness|You’re quitting tomorrow? You’re not serious, are you?!
TM01946.wav|Temporal/Prosodic|Lack of Expressiveness|This is unreal! No way! I refuse to believe this. 
TM02048.wav|Temporal/Prosodic|Awkward Pauses|When the. Final whistle. Blew the. Stadium exploded. Into celebration.
TM00150.wav|Articulation Related|Slurred Speech|to describe whose vast height and immense riches it would perhapsyouyawobewougyaatoowougyaouwmuch forwouwmewougyaouwtoyouyawoattempt. 
TM02128.wav|Articulation Related|Poor Word Articulation|to bwock the amendmentw, although I would be awfully glad to help get some other kind of amendment ratified.

